STATE/UT,population,litercay rate,Area km^2
A & N ISLANDS,380581,86.63%,8249
ANDHRA PRADESH,84580777,67.02%,162970
ARUNACHAL PRADESH,1383727,65.38%,83743
ASSAM,31205576,72.19%,78438
BIHAR,104099452,61.80%,94163
CHANDIGARH,1055450,86.05%,114
CHHATTISGARH,25545198,70.28%,135192
D & N HAVELI,343709,76.24%,491
DAMAN & DIU,243247,87.10%,112
DELHI,16787941,86.21%,1483
GOA,1458545,88.70%,3702
GUJARAT,60439692,78.03%,196244
HARYANA,25351462,75.55%,44212
HIMACHAL PRADESH,6864602,82.80%,55673
JAMMU & KASHMIR,12541302,67.16%,55538
JHARKHAND,32988134,66.41%,79716
KARNATAKA,61095297,75.36%,191791
KERALA,33406061,94.00%,38852
LAKSHADWEEP,64473,91.85%,32
MADHYA PRADESH,72626809,69.32%,308252
MAHARASHTRA,112374333,82.34%,307713
MANIPUR,2855794,76.94%,22327
MEGHALAYA,2966889,74.43%,22429
MIZORAM,1097206,91.33%,21081
NAGALAND,1978502,79.55%,16579
ODISHA,41974218,72.87%,155707
PUDUCHERRY,1247953,85.85%,490
PUNJAB,27743338,75.84%,50362
RAJASTHAN,68548437,66.11%,342239
SIKKIM,610577,81.42%,7096
TAMIL NADU,72147030,80.09%,130060
TRIPURA,3673917,87.22%,10486
UTTAR PRADESH,199812341,67.68%,240928
UTTARAKHAND,10086292,78.82%,53483
WEST BENGAL,91276115,76.26%,88752
